Time(s),Actual_State_Of_Charge,Estimated_State_Of_Charge
3.47,0.980722,0.981760
3.48,0.980667,0.981759
3.49,0.980611,0.981180
3.50,0.980556,0.981505
3.51,0.980500,0.981447
3.52,0.980444,0.981489
3.53,0.980389,0.981890
3.54,0.980333,0.982339
3.55,0.980278,0.982538
3.56,0.980222,0.981812
3.57,0.980167,0.981654
3.58,0.980111,0.981386
3.59,0.980056,0.981207
3.60,0.980000,0.981377
3.61,0.979944,0.981378
3.62,0.979889,0.980829
3.63,0.979833,0.980747
3.64,0.979778,0.980334
3.65,0.979722,0.979956
3.66,0.979667,0.980023
3.67,0.979611,0.979421
3.68,0.979556,0.979724
3.69,0.979500,0.979929
3.70,0.979444,0.980157
3.71,0.979389,0.980030
3.72,0.979333,0.979662
3.73,0.979278,0.979811
3.74,0.979222,0.980011
3.75,0.979167,0.980007
3.76,0.979111,0.980220
3.77,0.979056,0.980217
3.78,0.979000,0.979809
3.79,0.978944,0.979680
3.80,0.978889,0.979048
3.81,0.978833,0.979046
3.82,0.978778,0.979319
3.83,0.978722,0.979541
3.84,0.978667,0.978743
3.85,0.978611,0.978312
3.86,0.978556,0.978036
3.87,0.978500,0.977847
3.88,0.978444,0.977584
3.89,0.978389,0.977836
3.90,0.978333,0.977643
3.91,0.978278,0.977389
3.92,0.978222,0.977603
3.93,0.978167,0.977812
3.94,0.978111,0.977522
3.95,0.978056,0.977321
3.96,0.978000,0.977635
3.97,0.977944,0.977899
3.98,0.977889,0.977799
3.99,0.977833,0.977352
4.00,0.977778,0.977445
4.01,0.977722,0.977572
4.02,0.977667,0.977214
4.03,0.977611,0.977370
4.04,0.977556,0.977186
4.05,0.977500,0.976920
4.06,0.977444,0.976740
4.07,0.977389,0.976903
4.08,0.977333,0.976863
4.09,0.977278,0.976359
4.10,0.977222,0.975787
4.11,0.977167,0.975384
4.12,0.977111,0.975744
4.13,0.977056,0.975705
4.14,0.977000,0.975728
4.15,0.976944,0.975594
4.16,0.976889,0.975897
4.17,0.976833,0.976042
4.18,0.976778,0.975423
4.19,0.976722,0.975411
4.20,0.976667,0.974594
4.21,0.976611,0.974030
4.22,0.976556,0.974604
4.23,0.976500,0.974588
4.24,0.976444,0.974363
4.25,0.976389,0.974415
4.26,0.976333,0.974462
4.27,0.976278,0.974208
4.28,0.976222,0.974512
4.29,0.976167,0.974008
4.30,0.976111,0.973729
4.31,0.976056,0.973135
4.32,0.976000,0.973326
4.33,0.975944,0.973663
4.34,0.975889,0.973604
4.35,0.975833,0.973996
4.36,0.975778,0.973686
4.37,0.975722,0.973395
4.38,0.975667,0.973257
4.39,0.975611,0.972664
4.40,0.975556,0.972275
4.41,0.975500,0.972002
4.42,0.975444,0.971345
4.43,0.975389,0.970755
4.44,0.975333,0.970566
4.45,0.975278,0.970338
4.46,0.975222,0.970377
4.47,0.975167,0.970602
4.48,0.975111,0.970401
4.49,0.975056,0.969943
4.50,0.975000,0.969594
4.51,0.974944,0.969934
4.52,0.974889,0.970254
4.53,0.974833,0.970187
4.54,0.974778,0.969472
4.55,0.974722,0.969469
4.56,0.974667,0.969814
4.57,0.974611,0.969114
4.58,0.974556,0.968859
4.59,0.974500,0.969107
4.60,0.974444,0.969070
4.61,0.974389,0.969043
4.62,0.974333,0.969875
4.63,0.974278,0.969482
4.64,0.974222,0.968962
4.65,0.974167,0.968909
4.66,0.974111,0.968607
4.67,0.974056,0.969112
4.68,0.974000,0.968953
4.69,0.973944,0.969009
4.70,0.973889,0.968589
4.71,0.973833,0.968929
4.72,0.973778,0.968255
4.73,0.973722,0.967955
4.74,0.973667,0.967648
4.75,0.973611,0.967653
4.76,0.973556,0.968010
4.77,0.973500,0.967954
4.78,0.973444,0.968531
4.79,0.973389,0.968473
4.80,0.973333,0.968388
4.81,0.973278,0.968328
4.82,0.973222,0.968409
4.83,0.973167,0.969020
4.84,0.973111,0.969101
4.85,0.973056,0.969550
4.86,0.973000,0.968736
4.87,0.972944,0.969047
4.88,0.972889,0.968898
4.89,0.972833,0.969015
4.90,0.972778,0.968776
4.91,0.972722,0.969343
4.92,0.972667,0.969794
4.93,0.972611,0.969782
4.94,0.972556,0.970265
4.95,0.972500,0.970174
4.96,0.972444,0.970206
4.97,0.972389,0.970691
4.98,0.972333,0.970696
4.99,0.972278,0.971365
5.00,0.972222,0.970976
5.01,0.972222,0.970955
5.02,0.972222,0.971440
5.03,0.972222,0.970691
5.04,0.972222,0.970114
5.05,0.972222,0.969539
5.06,0.972222,0.970143
5.07,0.972222,0.970658
5.08,0.972222,0.970973
5.09,0.972222,0.970828
5.10,0.972222,0.970704
5.11,0.972222,0.969926
5.12,0.972222,0.969701
5.13,0.972222,0.969366
5.14,0.972222,0.969484
5.15,0.972222,0.969030
